DATA_HI,PERÍODE_HI,NO_HI,FL_NO,NO2_HI,FL_NO2,O3_HI,FL_O3,PM10_HI,FL_PM10,TMP_HI,FL_TMP,HR_HI,FL_HR,RS_HI,FL_RS,PRB_HI,FL_PRB,LL_HI,FL_LL
01/01/2020,1,1,V,5,V,31,V,21,V,9.7,V,87,V,2,V,1028,V,0,V
01/01/2020,2,1.3,V,6,V,28,V,18,V,9.4,V,87,V,2,V,1028,V,0,V
01/01/2020,3,1,V,5,V,24,V,15,V,8.3,V,88,V,2,V,1027,V,0,V
01/01/2020,4,1,V,3,V,30,V,13,V,8.8,V,89,V,2,V,1027,V,0,V
01/01/2020,5,1.7,V,3,V,25,V,20,V,9.6,V,88,V,2,V,1027,V,0,V
01/01/2020,6,9.3,V,8,V,22,V,21,V,10.1,V,88,V,2,V,1028,V,0,V
01/01/2020,7,1,V,5,V,23,V,15,V,10.3,V,87,V,2,V,1028,V,0,V
01/01/2020,8,1.8,V,6,V,17,V,18,V,10.6,V,86,V,2,V,1028,V,0,V
01/01/2020,9,4.8,V,6,V,19,V,19,V,11.4,V,86,V,3,V,1028,V,0,V
01/01/2020,10,3.7,V,6,V,34,V,24,V,13.3,V,82,V,21,V,1029,V,0,V
01/01/2020,11,1,V,2,V,59,V,19,V,14,V,69,V,90,V,1029,V,0,V
01/01/2020,12,1,V,2,V,63,V,22,V,14.2,V,66,V,143,V,1029,V,0,V
01/01/2020,13,1,V,2,V,65,V,22,V,14.5,V,63,V,212,V,1028,V,0,V
01/01/2020,14,1,V,3,V,65,V,22,V,14.7,V,63,V,345,V,1027,V,0,V
01/01/2020,15,1,V,3,V,69,V,17,V,14.2,V,64,V,53,V,1027,V,0,V
01/01/2020,16,1,V,2,V,70,V,19,V,14.2,V,62,V,88,V,1028,V,0,V
01/01/2020,17,1.4,V,6,V,59,V,28,V,13.3,V,64,V,2,V,1028,V,0,V
01/01/2020,18,2.5,V,12,V,30,V,27,V,11,V,71,V,2,V,1028,V,0,V
01/01/2020,19,1.3,V,12,V,22,V,29,V,9.2,V,78,V,2,V,1028,V,0,V
01/01/2020,20,1.6,V,6,V,31,V,22,V,8.6,V,82,V,2,V,1028,V,0,V
01/01/2020,21,1.3,V,8,V,29,V,25,V,8.5,V,83,V,2,V,1028,V,0,V
01/01/2020,22,1,V,6,V,30,V,24,V,8.3,V,84,V,2,V,1028,V,0,V
01/01/2020,23,1,V,3,V,31,V,21,V,8.2,V,85,V,2,V,1029,V,0,V
01/01/2020,24,1,V,2,V,30,V,25,V,8.2,V,86,V,2,V,1028,V,0,V
02/01/2020,1,1,V,2,V,24,V,20,V,8,V,86,V,2,V,1028,V,0,V
02/01/2020,2,1.7,V,2,V,28,V,19,V,8.6,V,87,V,2,V,1028,V,0,V
02/01/2020,3,1,V,2,V,30,V,23,V,9.5,V,87,V,2,V,1028,V,0,V
02/01/2020,4,1,V,2,V,29,V,20,V,9.9,V,86,V,2,V,1028,V,0,V
02/01/2020,5,1,V,5,V,25,V,20,V,10.5,V,86,V,2,V,1027,V,0,V
02/01/2020,6,5.9,V,10,V,24,V,22,V,11,V,85,V,2,V,1028,V,0,V
02/01/2020,7,32.4,V,23,V,13,V,,M,10.8,V,85,V,2,V,1028,V,0,V
02/01/2020,8,28.2,V,22,V,5,V,,M,10.5,V,86,V,2,V,1028,V,0,V
02/01/2020,9,,N,,N,37,V,,M,12.3,V,79,V,9,V,1029,V,0,V
02/01/2020,10,3.2,V,17,V,51,V,24,V,14,V,66,V,32,V,1029,V,0,V
02/01/2020,11,2.6,V,13,V,55,V,25,V,14.2,V,68,V,48,V,1029,V,0,V
02/01/2020,12,1.9,V,9,V,60,V,23,V,14.4,V,69,V,130,V,1029,V,0,V
02/01/2020,13,1,V,5,V,65,V,18,V,14.5,V,67,V,200,V,1028,V,0,V
02/01/2020,14,1,V,4,V,68,V,17,V,14.8,V,65,V,257,V,1027,V,0,V
02/01/2020,15,1.8,V,7,V,64,V,19,V,14.9,V,66,V,75,V,1027,V,0,V
02/01/2020,16,2.9,V,8,V,59,V,16,V,14.7,V,67,V,8,V,1027,V,0,V
02/01/2020,17,2.9,V,6,V,52,V,29,V,13.5,V,75,V,2,V,1028,V,0,V
02/01/2020,18,5.9,V,12,V,36,V,26,V,12.8,V,80,V,2,V,1028,V,0,V
02/01/2020,19,2.6,V,8,V,31,V,25,V,12.6,V,82,V,2,V,1028,V,0,V
02/01/2020,20,1.8,V,10,V,40,V,29,V,12.5,V,81,V,2,V,1028,V,0,V
02/01/2020,21,1,V,8,V,50,V,24,V,13.1,V,71,V,2,V,1028,V,0,V
02/01/2020,22,1,V,5,V,58,V,20,V,13.2,V,69,V,2,V,1028,V,0,V
02/01/2020,23,1,V,4,V,49,V,19,V,12.9,V,71,V,2,V,1028,V,0,V
02/01/2020,24,1,V,2,V,47,V,18,V,12.9,V,71,V,2,V,1028,V,0,V
03/01/2020,1,1,V,2,V,42,V,21,V,12.7,V,74,V,2,V,1027,V,0,V
03/01/2020,2,1,V,2,V,69,V,25,V,12.9,V,70,V,2,V,1027,V,0,V
03/01/2020,3,1,V,2,V,72,V,20,V,12.9,V,66,V,2,V,1027,V,0,V
03/01/2020,4,1,V,2,V,72,V,17,V,13,V,65,V,2,V,1026,V,0,V
03/01/2020,5,1,V,2,V,70,V,13,V,12.9,V,67,V,2,V,1026,V,0,V
03/01/2020,6,2.3,V,10,V,63,V,20,V,12.9,V,66,V,2,V,1027,V,0,V
03/01/2020,7,2,V,15,V,58,V,24,V,12.9,V,67,V,2,V,1027,V,0,V
03/01/2020,8,1.6,V,16,V,57,V,22,V,13,V,66,V,2,V,1027,V,0,V
03/01/2020,9,7.8,V,31,V,40,V,16,V,13.3,V,66,V,3,V,1028,V,0,V
03/01/2020,10,3.3,V,15,V,55,V,21,V,13.7,V,66,V,78,V,1028,V,0,V
03/01/2020,11,2.2,V,10,V,64,V,20,V,14,V,64,V,137,V,1028,V,0,V
03/01/2020,12,2.1,V,10,V,66,V,21,V,14.1,V,64,V,144,V,1027,V,0,V
03/01/2020,13,1.3,V,9,V,68,V,15,V,14.1,V,64,V,155,V,1027,V,0,V
03/01/2020,14,1,V,7,V,70,V,15,V,14.1,V,65,V,61,V,1026,V,0,V
03/01/2020,15,1,V,9,V,69,V,10,V,14,V,66,V,8,V,1026,V,0,V
03/01/2020,16,1,V,12,V,64,V,21,V,14,V,67,V,2,V,1026,V,0,V
03/01/2020,17,1,V,11,V,64,V,31,V,14,V,71,V,2,V,1026,V,0,V
03/01/2020,18,3.3,V,9,V,64,V,25,V,14,V,74,V,2,V,1027,V,0,V
03/01/2020,19,1,V,3,V,68,V,21,V,13.5,V,75,V,2,V,1027,V,0,V
03/01/2020,20,1,V,3,V,65,V,28,V,12.6,V,77,V,2,V,1027,V,0,V
03/01/2020,21,1,V,5,V,57,V,30,V,12.5,V,79,V,2,V,1027,V,0,V
03/01/2020,22,1,V,3,V,52,V,25,V,12.5,V,81,V,2,V,1027,V,0,V
03/01/2020,23,1,V,2,V,47,V,18,V,11.7,V,83,V,2,V,1028,V,0,V
03/01/2020,24,1,V,2,V,42,V,20,V,11.5,V,84,V,2,V,1027,V,0,V
04/01/2020,1,1,V,3,V,36,V,27,V,11.3,V,85,V,2,V,1027,V,0,V
