DATA_HI,PERIODE_HI,SO2_HI,FL_SO2,NO_HI,FL_NO,NO2_HI,FL_NO2,PM10_HI,FL_PM10,DD_HI,FL_DD,VV_HI,FL_VV,TMP_HI,FL_TMP,O3_HI,FL_O3,HR_HI,FL_HR,LL_HI,FL_LL,PRB_HI,FL_PRB
01/01/2020,1,2,V,1,V,22,V,17,V,259,V,0.4,V,10.7,V,40,V,89,V,0,V,1026,V
01/01/2020,2,2,V,1,V,23,V,18,V,286,V,0,V,10.1,V,26,V,91,V,0,V,1026,V
01/01/2020,3,2,V,1,V,18,V,19,V,269,V,0.1,V,10.5,V,32,V,91,V,0,V,1026,V
01/01/2020,4,2,V,1,V,19,V,12,V,263,V,0.6,V,10.5,V,35,V,91,V,0,V,1026,V
01/01/2020,5,2,V,1,V,9,V,12,V,263,V,0.3,V,10.5,V,52,V,91,V,0,V,1026,V
01/01/2020,6,2,V,1,V,12,V,15,V,263,V,0.2,V,10,V,45,V,92,V,0,V,1026,V
01/01/2020,7,2,V,1,V,7,V,13,V,263,V,2,V,11.6,V,66,V,87,V,0,V,1027,V
01/01/2020,8,2,V,1,V,3,V,11,V,263,V,3,V,12,V,63,V,81,V,0,V,1026,V
01/01/2020,9,2,V,1,V,3,V,8,V,264,V,0.8,V,11.6,V,48,V,86,V,0,V,1027,V
01/01/2020,10,2,V,1,V,6,V,9,V,278,V,0.3,V,12.8,V,52,V,86,V,0,V,1027,V
01/01/2020,11,2,V,1,V,3,V,11,V,273,V,1.8,V,14.4,V,71,V,77,V,0,V,1027,V
01/01/2020,12,2,V,1,V,3,V,15,V,265,V,2.3,V,14.5,V,75,V,75,V,0,V,1027,V
01/01/2020,13,2,V,1,V,3,V,11,V,265,V,2.6,V,14.7,V,79,V,75,V,0,V,1026,V
01/01/2020,14,2,V,1,V,3,V,8,V,263,V,2.3,V,14.4,V,79,V,73,V,0,V,1026,V
01/01/2020,15,2,V,1,V,3,V,11,V,276,V,1.1,V,14,V,78,V,75,V,0,V,1026,V
01/01/2020,16,2,V,1,V,3,V,12,V,340,V,0.3,V,13.9,V,75,V,77,V,0,V,1026,V
01/01/2020,17,2,V,1,V,14,V,12,V,318,V,0.5,V,13.5,V,61,V,78,V,0,V,1026,V
01/01/2020,18,2,V,1,V,18,V,14,V,261,V,1.4,V,12.8,V,52,V,80,V,0,V,1027,V
01/01/2020,19,2,V,1,V,15,V,15,V,260,V,1.3,V,12.3,V,55,V,80,V,0,V,1027,V
01/01/2020,20,2,V,1,V,22,V,15,V,245,V,0.7,V,11.7,V,39,V,82,V,0,V,1027,V
01/01/2020,21,2,V,1,V,20,V,26,V,234,V,0,V,10.2,V,19,V,84,V,0,V,1027,V
01/01/2020,22,2,V,2.7,V,28,V,21,V,252,V,0,V,9.7,V,17,V,87,V,0,V,1027,V
01/01/2020,23,2,V,2.6,V,28,V,25,V,259,V,0.1,V,9.5,V,19,V,89,V,0,V,1027,V
01/01/2020,24,2,V,1,V,17,V,26,V,258,V,0.1,V,10.7,V,28,V,86,V,0,V,1026,V
02/01/2020,1,2,V,1,V,3,V,21,V,257,V,0,V,9,V,39,V,88,V,0,V,1026,V
02/01/2020,2,2,V,1,V,7,V,17,V,271,V,0.4,V,9.2,V,38,V,91,V,0,V,1027,V
02/01/2020,3,2,V,1,V,7,V,13,V,273,V,0.2,V,9.5,V,40,V,91,V,0,V,1026,V
02/01/2020,4,2,V,1,V,7,V,16,V,267,V,0.2,V,10.4,V,37,V,91,V,0,V,1026,V
02/01/2020,5,2,V,1,V,3,V,10,V,245,V,0.7,V,11.9,V,45,V,85,V,0,V,1026,V
02/01/2020,6,2,V,3.2,V,18,V,8,V,244,V,0.4,V,12.3,V,45,V,83,V,0,V,1026,V
02/01/2020,7,2,V,1,V,25,V,8,V,220,V,0.1,V,12.1,V,24,V,83,V,0,V,1027,V
02/01/2020,8,2,V,11.2,V,35,V,12,V,238,V,1,V,12.5,V,29,V,79,V,0,V,1027,V
02/01/2020,9,2,V,11.6,V,41,V,20,V,242,V,0.7,V,13.2,V,26,V,78,V,0,V,1028,V
02/01/2020,10,2,V,7.3,V,40,V,18,V,238,V,1.1,V,13.6,V,32,V,80,V,0,V,1028,V
02/01/2020,11,2,V,3.9,V,24,V,17,V,265,V,0.6,V,13.1,V,24,V,86,V,0,V,1028,V
02/01/2020,12,2,V,6.1,V,33,V,17,V,264,V,0.3,V,14.3,V,37,V,82,V,0,V,1027,V
02/01/2020,13,2,V,2.8,V,15,V,21,V,262,V,3.2,V,14.6,V,67,V,79,V,0,V,1026,V
02/01/2020,14,2,V,1,V,16,V,10,V,258,V,2.3,V,14.3,V,67,V,81,V,0,V,1026,V
02/01/2020,15,2,V,2.4,V,19,V,10,V,255,V,1.9,V,14.2,V,61,V,82,V,0,V,1026,V
02/01/2020,16,2,V,2.1,V,20,V,15,V,254,V,2.4,V,14,V,65,V,82,V,0,V,1026,V
02/01/2020,17,2,V,1,V,15,V,17,V,241,V,2.8,V,13.8,V,69,V,82,V,0,V,1026,V
02/01/2020,18,2,V,1,V,19,V,17,V,237,V,2.5,V,13.7,V,65,V,82,V,0,V,1027,V
02/01/2020,19,2,V,1,V,21,V,18,V,235,V,1.3,V,13.7,V,59,V,83,V,0,V,1027,V
02/01/2020,20,2,V,1,V,26,V,20,V,238,V,1,V,13.5,V,51,V,83,V,0,V,1027,V
02/01/2020,21,2,V,1,V,22,V,18,V,235,V,0.4,V,13,V,41,V,84,V,0,V,1027,V
02/01/2020,22,2,V,1,V,25,V,24,V,277,V,0.1,V,12.7,V,36,V,84,V,0,V,1027,V
02/01/2020,23,2,V,1,V,11,V,20,V,265,V,0.8,V,12.7,V,62,V,81,V,0,V,1027,V
02/01/2020,24,2,V,3.3,V,8,V,10,V,264,V,1.8,V,12.5,V,78,V,80,V,0,V,1026,V
03/01/2020,1,2,V,1,V,3,V,11,V,270,V,1.3,V,12.3,V,69,V,81,V,0,V,1026,V
03/01/2020,2,2,V,1,V,3,V,9,V,265,V,0.7,V,12.3,V,68,V,80,V,0,V,1026,V
03/01/2020,3,2,V,1,V,3,V,9,V,262,V,1.7,V,12.9,V,79,V,77,V,0,V,1025,V
03/01/2020,4,2,V,1,V,3,V,7,V,259,V,1.7,V,13,V,84,V,75,V,0,V,1025,V
03/01/2020,5,2,V,1,V,3,V,7,V,259,V,1.3,V,13,V,85,V,75,V,0,V,1025,V
03/01/2020,6,2,V,1,V,10,V,6,V,263,V,0.7,V,12.1,V,61,V,79,V,0,V,1025,V
03/01/2020,7,2,V,1,V,18,V,3,V,270,V,0.3,V,11.9,V,50,V,82,V,0,V,1026,V
03/01/2020,8,2,V,1,V,26,V,11,V,271,V,0,V,12.1,V,47,V,81,V,0,V,1026,V
03/01/2020,9,2,V,3.4,V,31,V,12,V,266,V,0.2,V,12.4,V,37,V,81,V,0,V,1026,V
03/01/2020,10,2,V,1,V,20,V,15,V,267,V,1.2,V,13,V,47,V,81,V,0,V,1027,V
03/01/2020,11,2,V,1,V,7,V,12,V,268,V,2.4,V,13.5,V,67,V,76,V,0,V,1027,V
03/01/2020,12,2,V,1,V,7,V,7,V,263,V,2.9,V,14,V,76,V,73,V,0,V,1026,V
03/01/2020,13,2,V,1,V,7,V,7,V,260,V,3.7,V,14.2,V,79,V,73,V,0,V,1025,V
03/01/2020,14,2,V,1,V,6,V,7,V,265,V,3.6,V,14.2,V,80,V,71,V,0,V,1025,V
03/01/2020,15,2,V,1,V,3,V,11,V,277,V,2.2,V,14,V,82,V,75,V,0,V,1025,V
03/01/2020,16,2,V,1,V,13,V,8,V,252,V,1.4,V,14,V,73,V,74,V,0,V,1025,V
03/01/2020,17,2,V,1,V,21,V,9,V,253,V,1.3,V,13.7,V,65,V,77,V,0,V,1025,V
03/01/2020,18,2,V,1,V,25,V,15,V,269,V,0.6,V,13.2,V,45,V,80,V,0,V,1025,V
03/01/2020,19,2,V,1,V,15,V,18,V,286,V,0.9,V,13,V,50,V,83,V,0,V,1025,V
03/01/2020,20,2,V,1,V,16,V,20,V,270,V,1.2,V,12.5,V,51,V,85,V,0,V,1025,V
03/01/2020,21,2,V,1,V,17,V,25,V,268,V,1.6,V,11.6,V,46,V,88,V,0,V,1026,V
03/01/2020,22,2,V,1,V,11,V,24,V,265,V,1.7,V,11.3,V,60,V,91,V,0,V,1026,V
03/01/2020,23,2,V,1,V,8,V,18,V,269,V,2.1,V,10.8,V,53,V,92,V,0,V,1026,V
03/01/2020,24,2,V,1,V,6,V,17,V,263,V,2.7,V,10.7,V,55,V,93,V,0,V,1026,V
04/01/2020,1,2,V,1,V,3,V,18,V,263,V,3,V,10.5,V,47,V,95,V,0,V,1025,V
04/01/2020,2,2,V,1,V,3,V,18,V,264,V,2.9,V,10.8,V,52,V,95,V,0,V,1025,V
04/01/2020,3,2,V,1,V,3,V,21,V,264,V,3.2,V,11,V,49,V,95,V,0,V,1025,V
04/01/2020,4,2,V,1,V,3,V,21,V,270,V,2.8,V,10.8,V,45,V,96,V,0,V,1025,V
04/01/2020,5,2,V,1,V,3,V,20,V,323,V,5.4,V,12,V,58,V,92,V,0,V,1025,V
04/01/2020,6,6,V,14.9,V,21,V,15,V,86,V,11.7,V,13.1,V,66,V,83,V,0,V,1025,V
04/01/2020,7,2,V,1,V,3,V,19,V,294,V,10.3,V,12.9,V,76,V,83,V,0,V,1026,V
04/01/2020,8,2,V,1,V,3,V,20,V,281,V,6.5,V,12.7,V,69,V,86,V,0,V,1026,V
04/01/2020,9,2,V,1,V,7,V,19,V,285,V,2.3,V,13,V,55,V,86,V,0,V,1026,V
04/01/2020,10,2,V,1,V,7,V,18,V,312,V,5.7,V,13.6,V,55,V,82,V,0,V,1027,V
04/01/2020,11,2,V,1,V,3,V,17,V,315,V,7.4,V,14.1,V,66,V,78,V,0,V,1026,V
04/01/2020,12,2,V,1,V,3,V,12,V,296,V,7.1,V,14.4,V,66,V,78,V,0,V,1026,V
04/01/2020,13,2,V,1,V,3,V,13,V,289,V,6.9,V,15.3,V,69,V,73,V,0,V,1025,V
04/01/2020,14,2,V,1,V,3,V,10,V,290,V,7.3,V,15.4,V,77,V,71,V,0,V,1024,V
04/01/2020,15,2,V,1,V,3,V,12,V,294,V,7.4,V,14.8,V,76,V,75,V,0,V,1024,V
04/01/2020,16,2,V,1,V,3,V,11,V,293,V,5.6,V,13.8,V,76,V,75,V,0,V,1024,V
04/01/2020,17,2,V,1,V,3,V,11,V,295,V,4.6,V,12.5,V,69,V,80,V,0,V,1024,V
04/01/2020,18,2,V,1,V,7,V,14,V,300,V,2.8,V,11.7,V,63,V,83,V,0,V,1025,V
04/01/2020,19,2,V,1,V,7,V,15,V,299,V,3,V,11.7,V,66,V,84,V,0,V,1025,V
04/01/2020,20,2,V,1,V,6,V,15,V,298,V,2.9,V,11.5,V,72,V,84,V,0,V,1025,V
04/01/2020,21,2,V,1,V,7,V,17,V,285,V,3,V,11.1,V,66,V,85,V,0,V,1025,V
04/01/2020,22,2,V,1,V,6,V,18,V,271,V,3,V,10.6,V,60,V,87,V,0,V,1025,V
04/01/2020,23,2,V,1,V,7,V,11,V,274,V,3.1,V,10.4,V,63,V,89,V,0,V,1025,V
04/01/2020,24,2,V,1,V,3,V,12,V,287,V,3.4,V,10.5,V,68,V,90,V,0,V,1024,V
05/01/2020,1,2,V,1,V,3,V,11,V,295,V,3.8,V,11,V,68,V,92,V,0,V,1023,V
05/01/2020,2,2,V,1,V,3,V,15,V,288,V,4,V,11,V,65,V,93,V,0,V,1023,V
05/01/2020,3,2,V,1,V,3,V,13,V,291,V,3.8,V,10.8,V,59,V,95,V,0,V,1023,V
05/01/2020,4,2,V,1,V,3,V,14,V,292,V,3.4,V,10.6,V,57,V,95,V,0,V,1022,V
05/01/2020,5,2,V,1,V,3,V,16,V,286,V,3.6,V,10.9,V,64,V,95,V,0,V,1023,V
05/01/2020,6,2,V,1,V,3,V,16,V,277,V,3.2,V,10.4,V,60,V,95,V,0,V,1022,V
05/01/2020,7,2,V,1,V,3,V,13,V,279,V,3.4,V,10.4,V,63,V,96,V,0,V,1023,V
05/01/2020,8,2,V,1,V,3,V,12,V,286,V,4,V,10.7,V,58,V,96,V,0,V,1023,V
05/01/2020,9,2,V,1,V,3,V,16,V,285,V,3.4,V,12.3,V,57,V,94,V,0,V,1023,V
05/01/2020,10,2,V,1,V,3,V,12,V,295,V,4.1,V,13.9,V,59,V,87,V,0,V,1023,V
05/01/2020,11,2,V,1,V,3,V,18,V,320,V,6.2,V,14.7,V,76,V,75,V,0,V,1023,V
05/01/2020,12,2,V,1,V,3,V,18,V,328,V,7.5,V,14.8,V,75,V,69,V,0,V,1022,V
05/01/2020,13,2,V,1,V,3,V,10,V,312,V,7.9,V,14.9,V,79,V,70,V,0,V,1022,V
05/01/2020,14,2,V,1,V,3,V,8,V,313,V,8.1,V,13.7,V,78,V,75,V,0,V,1021,V
05/01/2020,15,2,V,1,V,3,V,23,V,334,V,6.1,V,13.3,V,81,V,77,V,0,V,1021,V
05/01/2020,16,2,V,1,V,3,V,27,V,339,V,3.5,V,13.2,V,80,V,79,V,0,V,1021,V
05/01/2020,17,2,V,1,V,10,V,31,V,281,V,1.7,V,12.4,V,66,V,83,V,0,V,1022,V
05/01/2020,18,2,V,1,V,11,V,25,V,290,V,2.2,V,11.2,V,59,V,88,V,0,V,1022,V
05/01/2020,19,2,V,1,V,6,V,20,V,311,V,2.2,V,10.8,V,69,V,87,V,0,V,1022,V
05/01/2020,20,2,V,1,V,8,V,22,V,269,V,2.8,V,9.9,V,62,V,86,V,0,V,1022,V
05/01/2020,21,2,V,1,V,9,V,24,V,270,V,2.4,V,10.1,V,67,V,87,V,0,V,1022,V
05/01/2020,22,2,V,1,V,6,V,24,V,273,V,2.2,V,11,V,69,V,87,V,0,V,1022,V
05/01/2020,23,2,V,1,V,3,V,22,V,257,V,4.7,V,11.7,V,68,V,87,V,0,V,1022,V
05/01/2020,24,2,V,1,V,3,V,23,V,255,V,5.7,V,11.8,V,69,V,88,V,0,V,1021,V
06/01/2020,1,2,V,1,V,3,V,22,V,253,V,4.9,V,12,V,70,V,90,V,0,V,1021,V
06/01/2020,2,2,V,1,V,3,V,21,V,253,V,1.8,V,12,V,68,V,90,V,0,V,1021,V
06/01/2020,3,2,V,1,V,3,V,21,V,253,V,1.7,V,12.2,V,68,V,87,V,0,V,1021,V
06/01/2020,4,2,V,1,V,3,V,17,V,244,V,0.6,V,11.9,V,57,V,88,V,0,V,1021,V
06/01/2020,5,2,V,1,V,3,V,16,V,201,V,1.5,V,12,V,61,V,88,V,0,V,1021,V
06/01/2020,6,2,V,1,V,8,V,19,V,199,V,0,V,11.9,V,59,V,87,V,0,V,1022,V
06/01/2020,7,2,V,1,V,12,V,20,V,195,V,0,V,11.8,V,39,V,88,V,0,V,1022,V
06/01/2020,8,2,V,1,V,16,V,19,V,195,V,0.1,V,12.4,V,33,V,86,V,0,V,1023,V
06/01/2020,9,2,V,1,V,14,V,20,V,203,V,1.3,V,13,V,58,V,87,V,0,V,1023,V
06/01/2020,10,2,V,1,V,12,V,21,V,189,V,1.7,V,13.5,V,61,V,85,V,0,V,1023,V
06/01/2020,11,2,V,1,V,12,V,26,V,189,V,1.8,V,13.9,V,60,V,86,V,0,V,1023,V
06/01/2020,12,2,V,1,V,10,V,27,V,192,V,2.5,V,13.8,V,68,V,86,V,0,V,1023,V
06/01/2020,13,2,V,1,V,8,V,24,V,213,V,1.9,V,14.1,V,70,V,84,V,0,V,1022,V
06/01/2020,14,2,V,1,V,3,V,21,V,228,V,1.3,V,14.7,V,74,V,83,V,0,V,1022,V
06/01/2020,15,2,V,1,V,3,V,14,V,250,V,2.2,V,15.3,V,76,V,78,V,0,V,1022,V
06/01/2020,16,2,V,1,V,3,V,15,V,219,V,2.1,V,14.4,V,81,V,79,V,0,V,1022,V
06/01/2020,17,2,V,1,V,11,V,17,V,209,V,1.6,V,13.3,V,72,V,84,V,0,V,1022,V
06/01/2020,18,2,V,2.8,V,24,V,26,V,217,V,0.2,V,12.2,V,47,V,86,V,0,V,1023,V
06/01/2020,19,2,V,2.8,V,27,V,32,V,278,V,0.6,V,10.6,V,28,V,92,V,0,V,1023,V
06/01/2020,20,2,V,3.8,V,30,V,32,V,271,V,0.7,V,10.7,V,31,V,93,V,0,V,1023,V
06/01/2020,21,2,V,1,V,24,V,27,V,261,V,0.3,V,10.3,V,39,V,94,V,0,V,1024,V
