DATA_HI,PERIODE_HI,SO2_HI,FL_SO2,NO_HI,FL_NO,NO2_HI,FL_NO2,PM10_HI,FL_PM10,VV_HI,FL_VV,DD_HI,FL_DD,TMP_HI,FL_TMP,O3_HI,FL_O3
01/01/2020,1,2,V,7.9,V,23,V,15,V,0.3,V,280,V,12,V,43,V
01/01/2020,2,2,V,11.5,V,35,V,12,V,0.1,V,281,V,11.4,V,14,V
01/01/2020,3,2,V,2.3,V,26,V,16,V,0,V,281,V,11.5,V,25,V
01/01/2020,4,2,V,2.6,V,27,V,13,V,0.1,V,281,V,11.4,V,21,V
01/01/2020,5,2,V,1,V,18,V,10,V,0,V,281,V,11.3,V,39,V
01/01/2020,6,2,V,1,V,16,V,11,V,0,V,281,V,10.9,V,32,V
01/01/2020,7,2,V,1,V,9,V,11,V,1.2,V,244,V,12.1,V,59,V
01/01/2020,8,2,V,1,V,6,V,12,V,0.5,V,175,V,12.3,V,52,V
01/01/2020,9,2,V,1,V,8,V,8,V,0.3,V,287,V,12.3,V,39,V
01/01/2020,10,2,V,4.2,V,15,V,9,V,1,V,285,V,13.4,V,35,V
01/01/2020,11,2,V,2.7,V,9,V,12,V,2.8,V,268,V,14.5,V,58,V
01/01/2020,12,2,V,2,V,7,V,10,V,3.2,V,252,V,14.7,V,64,V
01/01/2020,13,2,V,2.2,V,8,V,8,V,3.4,V,248,V,14.8,V,65,V
01/01/2020,14,2,V,1,V,7,V,15,V,2.7,V,241,V,14.7,V,66,V
01/01/2020,15,2,V,1,V,3,V,8,V,1.6,V,241,V,14.4,V,66,V
01/01/2020,16,2,V,1,V,9,V,3,V,0.4,V,296,V,14.1,V,53,V
01/01/2020,17,2,V,3,V,18,V,9,V,0.9,V,288,V,13.9,V,51,V
01/01/2020,18,2,V,2.2,V,14,V,7,V,2.1,V,261,V,13.3,V,49,V
01/01/2020,19,2,V,1,V,9,V,7,V,1.9,V,240,V,12.9,V,58,V
01/01/2020,20,2,V,1,V,16,V,8,V,0.6,V,231,V,12.6,V,53,V
01/01/2020,21,2,V,1,V,21,V,10,V,0,V,227,V,11.6,V,26,V
01/01/2020,22,2,V,4.4,V,37,V,9,V,0,V,227,V,11.8,V,14,V
01/01/2020,23,2,V,1,V,22,V,14,V,0,V,227,V,11.7,V,36,V
01/01/2020,24,2,V,1,V,11,V,18,V,0.1,V,225,V,11.6,V,49,V
02/01/2020,1,2,V,1,V,3,V,18,V,0,V,218,V,11.3,V,45,V
02/01/2020,2,2,V,1,V,8,V,11,V,0,V,215,V,10.4,V,36,V
02/01/2020,3,2,V,1,V,9,V,11,V,0,V,215,V,12,V,27,V
02/01/2020,4,2,V,1,V,3,V,12,V,0.1,V,208,V,11.7,V,35,V
02/01/2020,5,2,V,1,V,3,V,11,V,0.6,V,176,V,12.5,V,51,V
02/01/2020,6,2,V,9,V,33,V,8,V,0.3,V,154,V,12.5,V,25,V
02/01/2020,7,2,V,12.5,V,46,V,12,V,0.5,V,143,V,13,V,24,V
02/01/2020,8,2,V,11,V,42,V,12,V,1.1,V,141,V,13,V,23,V
02/01/2020,9,2,V,25.6,V,62,V,17,V,0.3,V,136,V,13.4,V,10,V
02/01/2020,10,2,V,7.4,V,41,V,20,V,0,V,142,V,13.8,V,17,V
02/01/2020,11,2,V,15.8,V,31,V,31,V,0.1,V,146,V,13.7,V,10,V
02/01/2020,12,2,V,16.3,V,43,V,22,V,0.5,V,187,V,14.8,V,27,V
02/01/2020,13,2,V,2,V,15,V,22,V,1,V,218,V,15.1,V,60,V
02/01/2020,14,2,V,2,V,14,V,20,V,0.5,V,176,V,14.8,V,57,V
02/01/2020,15,2,V,1,V,14,V,13,V,0.3,V,163,V,14.6,V,58,V
02/01/2020,16,2,V,1,V,16,V,10,V,0.4,V,190,V,14.3,V,56,V
02/01/2020,17,2,V,2,V,20,V,14,V,0.7,V,146,V,14,V,55,V
02/01/2020,18,2,V,1,V,22,V,13,V,0.6,V,135,V,13.9,V,51,V
02/01/2020,19,2,V,2,V,33,V,17,V,0.2,V,136,V,13.9,V,40,V
02/01/2020,20,2,V,2,V,32,V,28,V,0.1,V,139,V,13.7,V,35,V
02/01/2020,21,2,V,1,V,28,V,24,V,0.1,V,139,V,13.5,V,25,V
02/01/2020,22,2,V,1,V,25,V,30,V,0.7,V,209,V,13.6,V,37,V
02/01/2020,23,2,V,1,V,9,V,12,V,2.3,V,239,V,13.4,V,57,V
02/01/2020,24,2,V,1,V,3,V,8,V,2,V,251,V,13.2,V,60,V
03/01/2020,1,2,V,1,V,3,V,6,V,2,V,251,V,13.1,V,60,V
03/01/2020,2,2,V,1,V,3,V,3,V,1.5,V,244,V,13,V,65,V
03/01/2020,3,2,V,1,V,3,V,3,V,0.5,V,199,V,13.3,V,69,V
03/01/2020,4,2,V,1,V,3,V,3,V,0.5,V,150,V,13.2,V,68,V
03/01/2020,5,2,V,1,V,3,V,3,V,1.1,V,244,V,13.4,V,72,V
03/01/2020,6,2,V,3.3,V,19,V,3,V,0.4,V,237,V,12.7,V,43,V
03/01/2020,7,2,V,13.2,V,43,V,3,V,0.1,V,248,V,12.4,V,18,V
03/01/2020,8,2,V,12.1,V,47,V,11,V,0.4,V,248,V,12.6,V,22,V
03/01/2020,9,2,V,18.7,V,54,V,14,V,0.7,V,248,V,12.8,V,12,V
03/01/2020,10,2,V,7.7,V,32,V,13,V,2.2,V,259,V,13.3,V,30,V
03/01/2020,11,2,V,5.5,V,16,V,16,V,2.8,V,270,V,13.9,V,50,V
03/01/2020,12,2,V,4,V,16,V,3,V,2.7,V,238,V,14.5,V,61,V
03/01/2020,13,2,V,2.1,V,11,V,3,V,3.5,V,240,V,14.6,V,66,V
03/01/2020,14,2,V,2.4,V,10,V,3,V,4.4,V,253,V,14.6,V,66,V
03/01/2020,15,2,V,3.1,V,13,V,3,V,2.3,V,260,V,14.3,V,59,V
03/01/2020,16,2,V,1,V,20,V,3,V,1,V,237,V,14.4,V,54,V
03/01/2020,17,2,V,2.2,V,32,V,17,V,1.1,V,236,V,14.2,V,41,V
03/01/2020,18,2,V,2.1,V,29,V,15,V,2,V,238,V,14,V,42,V
03/01/2020,19,2,V,1,V,18,V,9,V,1.5,V,259,V,13.5,V,42,V
03/01/2020,20,2,V,4.1,V,32,V,12,V,1.3,V,265,V,13,V,30,V
03/01/2020,21,2,V,2.7,V,27,V,19,V,1.4,V,265,V,11.9,V,32,V
03/01/2020,22,2,V,2.4,V,16,V,21,V,1.5,V,263,V,11.7,V,45,V
03/01/2020,23,2,V,1,V,12,V,19,V,1.8,V,262,V,11,V,41,V
03/01/2020,24,2,V,1,V,9,V,12,V,1.4,V,261,V,11.1,V,42,V
04/01/2020,1,2,V,1,V,6,V,17,V,1.9,V,260,V,10.9,V,40,V
04/01/2020,2,2,V,1,V,3,V,21,V,1.6,V,259,V,11.2,V,40,V
04/01/2020,3,2,V,1,V,3,V,16,V,2,V,257,V,11.4,V,41,V
04/01/2020,4,2,V,1,V,3,V,16,V,1.9,V,260,V,10.9,V,37,V
04/01/2020,5,2,V,1,V,3,V,15,V,3,V,324,V,11.8,V,45,V
04/01/2020,6,2,V,1,V,3,V,13,V,8.2,V,267,V,13.2,V,61,V
04/01/2020,7,2,V,1,V,3,V,14,V,6.8,V,346,V,13,V,60,V
04/01/2020,8,2,V,1,V,3,V,14,V,5.1,V,329,V,12.9,V,57,V
04/01/2020,9,2,V,3.7,V,10,V,13,V,2.9,V,293,V,13.3,V,40,V
04/01/2020,10,2,V,2,V,6,V,17,V,6,V,303,V,14.1,V,45,V
04/01/2020,11,2,V,2.3,V,6,V,15,V,6.4,V,303,V,14.5,V,51,V
04/01/2020,12,2,V,2.3,V,7,V,10,V,7.7,V,294,V,15,V,55,V
04/01/2020,13,2,V,2.3,V,3,V,33,V,8.3,V,284,V,15.6,V,59,V
04/01/2020,14,2,V,1,V,3,V,17,V,8.7,V,274,V,15.8,V,60,V
04/01/2020,15,2,V,1,V,3,V,10,V,8.2,V,276,V,15.2,V,62,V
04/01/2020,16,2,V,1,V,3,V,15,V,6.6,V,273,V,14.1,V,59,V
04/01/2020,17,2,V,1,V,6,V,11,V,5.2,V,271,V,12.6,V,54,V
04/01/2020,18,2,V,1,V,7,V,13,V,4.4,V,275,V,12,V,53,V
04/01/2020,19,2,V,1,V,7,V,12,V,3.5,V,284,V,12,V,57,V
04/01/2020,20,2,V,1,V,7,V,11,V,4.5,V,274,V,11.8,V,59,V
04/01/2020,21,2,V,1,V,7,V,13,V,2.9,V,282,V,11.3,V,55,V
04/01/2020,22,2,V,1,V,7,V,10,V,3.4,V,274,V,11,V,51,V
04/01/2020,23,2,V,1,V,9,V,10,V,3.3,V,266,V,10.8,V,49,V
04/01/2020,24,2,V,1,V,6,V,18,V,3.2,V,273,V,11,V,50,V
05/01/2020,1,2,V,1,V,3,V,11,V,3.8,V,279,V,11.4,V,54,V
05/01/2020,2,2,V,1,V,3,V,14,V,4.6,V,268,V,11.2,V,49,V
05/01/2020,3,2,V,1,V,3,V,10,V,4.7,V,266,V,11.1,V,47,V
05/01/2020,4,2,V,1,V,3,V,6,V,3.4,V,275,V,10.9,V,47,V
05/01/2020,5,2,V,1,V,3,V,11,V,3.8,V,273,V,11.2,V,50,V
05/01/2020,6,2,V,1,V,3,V,9,V,3,V,264,V,10.8,V,45,V
05/01/2020,7,2,V,1,V,3,V,9,V,2.8,V,274,V,10.6,V,44,V
05/01/2020,8,2,V,1,V,3,V,3,V,3,V,281,V,10.9,V,43,V
05/01/2020,9,2,V,2.3,V,8,V,58,V,2.7,V,281,V,12.7,V,41,V
05/01/2020,10,2,V,2.2,V,7,V,42,V,4.5,V,280,V,14.4,V,47,V
05/01/2020,11,2,V,2.4,V,3,V,18,V,5.3,V,300,V,15.1,V,59,V
05/01/2020,12,2,V,1,V,3,V,12,V,5.8,V,314,V,15.3,V,64,V
05/01/2020,13,2,V,1,V,3,V,10,V,6.6,V,310,V,15.4,V,67,V
05/01/2020,14,2,V,1,V,3,V,11,V,6.8,V,332,V,14,V,70,V
05/01/2020,15,2,V,1,V,3,V,17,V,5.4,V,326,V,13.6,V,70,V
05/01/2020,16,2,V,1,V,3,V,28,V,2.8,V,318,V,13.3,V,65,V
05/01/2020,17,2,V,2.9,V,16,V,34,V,3,V,278,V,12.5,V,47,V
05/01/2020,18,2,V,2,V,19,V,16,V,2.1,V,269,V,11.3,V,38,V
05/01/2020,19,2,V,1,V,12,V,16,V,2.1,V,302,V,10.9,V,46,V
05/01/2020,20,2,V,4.1,V,15,V,16,V,2.5,V,278,V,10.3,V,46,V
