DATA_HI,PERIODE_HI,NO_HI,NO2_HI,PM10_HI,TMP_HI,O3_HI
01/01/2020,1,1,22,17,10.7,40
01/01/2020,2,1,23,18,10.1,26
01/01/2020,3,1,18,19,10.5,32
01/01/2020,4,1,19,12,10.5,35
01/01/2020,5,1,9,12,10.5,52
01/01/2020,6,1,12,15,10,45
01/01/2020,7,1,7,13,11.6,66
01/01/2020,8,1,3,11,12,63
01/01/2020,9,1,3,8,11.6,48
01/01/2020,10,1,6,9,12.8,52
01/01/2020,11,1,3,11,14.4,71
01/01/2020,12,1,3,15,14.5,75
01/01/2020,13,1,3,11,14.7,79
01/01/2020,14,1,3,8,14.4,79
01/01/2020,15,1,3,11,14,78
01/01/2020,16,1,3,12,13.9,75
01/01/2020,17,1,14,12,13.5,61
01/01/2020,18,1,18,14,12.8,52
01/01/2020,19,1,15,15,12.3,55
01/01/2020,20,1,22,15,11.7,39
01/01/2020,21,1,20,26,10.2,19
01/01/2020,22,2.7,28,21,9.7,17
01/01/2020,23,2.6,28,25,9.5,19
01/01/2020,24,1,17,26,10.7,28
02/01/2020,1,1,3,21,9,39
02/01/2020,2,1,7,17,9.2,38
02/01/2020,3,1,7,13,9.5,40
02/01/2020,4,1,7,16,10.4,37
02/01/2020,5,1,3,10,11.9,45
02/01/2020,6,3.2,18,8,12.3,45
02/01/2020,7,1,25,8,12.1,24
02/01/2020,8,11.2,35,12,12.5,29
02/01/2020,9,11.6,41,20,13.2,26
02/01/2020,10,7.3,40,18,13.6,32
02/01/2020,11,3.9,24,17,13.1,24
02/01/2020,12,6.1,33,17,14.3,37
02/01/2020,13,2.8,15,21,14.6,67
02/01/2020,14,1,16,10,14.3,67
02/01/2020,15,2.4,19,10,14.2,61
02/01/2020,16,2.1,20,15,14,65
02/01/2020,17,1,15,17,13.8,69
02/01/2020,18,1,19,17,13.7,65
02/01/2020,19,1,21,18,13.7,59
02/01/2020,20,1,26,20,13.5,51
02/01/2020,21,1,22,18,13,41
02/01/2020,22,1,25,24,12.7,36
02/01/2020,23,1,11,20,12.7,62
02/01/2020,24,3.3,8,10,12.5,78
03/01/2020,1,1,3,11,12.3,69
03/01/2020,2,1,3,9,12.3,68
03/01/2020,3,1,3,9,12.9,79
03/01/2020,4,1,3,7,13,84
03/01/2020,5,1,3,7,13,85
03/01/2020,6,1,10,6,12.1,61
03/01/2020,7,1,18,3,11.9,50
03/01/2020,8,1,26,11,12.1,47
03/01/2020,9,3.4,31,12,12.4,37
03/01/2020,10,1,20,15,13,47
03/01/2020,11,1,7,12,13.5,67
03/01/2020,12,1,7,7,14,76
03/01/2020,13,1,7,7,14.2,79
03/01/2020,14,1,6,7,14.2,80
03/01/2020,15,1,3,11,14,82
03/01/2020,16,1,13,8,14,73
03/01/2020,17,1,21,9,13.7,65
03/01/2020,18,1,25,15,13.2,45
03/01/2020,19,1,15,18,13,50
