DATA_HI,PERIODE_HI,NO_HI,NO2_HI,PM10_HI,TMP_HI,O3_HI
01/01/2020,1,7.9,23,15,12,43
01/01/2020,2,11.5,35,12,11.4,14
01/01/2020,3,2.3,26,16,11.5,25
01/01/2020,4,2.6,27,13,11.4,21
01/01/2020,5,1,18,10,11.3,39
01/01/2020,6,1,16,11,10.9,32
01/01/2020,7,1,9,11,12.1,59
01/01/2020,8,1,6,12,12.3,52
01/01/2020,9,1,8,8,12.3,39
01/01/2020,10,4.2,15,9,13.4,35
01/01/2020,11,2.7,9,12,14.5,58
01/01/2020,12,2,7,10,14.7,64
01/01/2020,13,2.2,8,8,14.8,65
01/01/2020,14,1,7,15,14.7,66
01/01/2020,15,1,3,8,14.4,66
01/01/2020,16,1,9,3,14.1,53
01/01/2020,17,3,18,9,13.9,51
01/01/2020,18,2.2,14,7,13.3,49
01/01/2020,19,1,9,7,12.9,58
01/01/2020,20,1,16,8,12.6,53
01/01/2020,21,1,21,10,11.6,26
01/01/2020,22,4.4,37,9,11.8,14
01/01/2020,23,1,22,14,11.7,36
01/01/2020,24,1,11,18,11.6,49
02/01/2020,1,1,3,18,11.3,45
02/01/2020,2,1,8,11,10.4,36
02/01/2020,3,1,9,11,12,27
02/01/2020,4,1,3,12,11.7,35
02/01/2020,5,1,3,11,12.5,51
02/01/2020,6,9,33,8,12.5,25
02/01/2020,7,12.5,46,12,13,24
02/01/2020,8,11,42,12,13,23
02/01/2020,9,25.6,62,17,13.4,10
02/01/2020,10,7.4,41,20,13.8,17
02/01/2020,11,15.8,31,31,13.7,10
02/01/2020,12,16.3,43,22,14.8,27
02/01/2020,13,2,15,22,15.1,60
02/01/2020,14,2,14,20,14.8,57
02/01/2020,15,1,14,13,14.6,58
02/01/2020,16,1,16,10,14.3,56
02/01/2020,17,2,20,14,14,55
02/01/2020,18,1,22,13,13.9,51
02/01/2020,19,2,33,17,13.9,40
02/01/2020,20,2,32,28,13.7,35
02/01/2020,21,1,28,24,13.5,25
02/01/2020,22,1,25,30,13.6,37
02/01/2020,23,1,9,12,13.4,57
02/01/2020,24,1,3,8,13.2,60
03/01/2020,1,1,3,6,13.1,60
03/01/2020,2,1,3,3,13,65
03/01/2020,3,1,3,3,13.3,69
03/01/2020,4,1,3,3,13.2,68
03/01/2020,5,1,3,3,13.4,72
03/01/2020,6,3.3,19,3,12.7,43
03/01/2020,7,13.2,43,3,12.4,18
03/01/2020,8,12.1,47,11,12.6,22
03/01/2020,9,18.7,54,14,12.8,12
03/01/2020,10,7.7,32,13,13.3,30
03/01/2020,11,5.5,16,16,13.9,50
03/01/2020,12,4,16,3,14.5,61
03/01/2020,13,2.1,11,3,14.6,66
03/01/2020,14,2.4,10,3,14.6,66
03/01/2020,15,3.1,13,3,14.3,59
03/01/2020,16,1,20,3,14.4,54
03/01/2020,17,2.2,32,17,14.2,41
03/01/2020,18,2.1,29,15,14,42
03/01/2020,19,1,18,9,13.5,42
03/01/2020,20,4.1,32,12,13,30
03/01/2020,21,2.7,27,19,11.9,32
03/01/2020,22,2.4,16,21,11.7,45
03/01/2020,23,1,12,19,11,41
03/01/2020,24,1,9,12,11.1,42
04/01/2020,1,1,6,17,10.9,40
04/01/2020,2,1,3,21,11.2,40
04/01/2020,3,1,3,16,11.4,41
04/01/2020,4,1,3,16,10.9,37
04/01/2020,5,1,3,15,11.8,45
04/01/2020,6,1,3,13,13.2,61
04/01/2020,7,1,3,14,13,60
04/01/2020,8,1,3,14,12.9,57
04/01/2020,9,3.7,10,13,13.3,40
04/01/2020,10,2,6,17,14.1,45
04/01/2020,11,2.3,6,15,14.5,51
04/01/2020,12,2.3,7,10,15,55
04/01/2020,13,2.3,3,33,15.6,59
04/01/2020,14,1,3,17,15.8,60
04/01/2020,15,1,3,10,15.2,62
04/01/2020,16,1,3,15,14.1,59
04/01/2020,17,1,6,11,12.6,54
04/01/2020,18,1,7,13,12,53
04/01/2020,19,1,7,12,12,57
04/01/2020,20,1,7,11,11.8,59
04/01/2020,21,1,7,13,11.3,55
04/01/2020,22,1,7,10,11,51
04/01/2020,23,1,9,10,10.8,49
04/01/2020,24,1,6,18,11,50
05/01/2020,1,1,3,11,11.4,54
05/01/2020,2,1,3,14,11.2,49
05/01/2020,3,1,3,10,11.1,47
05/01/2020,4,1,3,6,10.9,47
05/01/2020,5,1,3,11,11.2,50
05/01/2020,6,1,3,9,10.8,45
05/01/2020,7,1,3,9,10.6,44
05/01/2020,8,1,3,3,10.9,43
05/01/2020,9,2.3,8,58,12.7,41
05/01/2020,10,2.2,7,42,14.4,47
05/01/2020,11,2.4,3,18,15.1,59
05/01/2020,12,1,3,12,15.3,64
05/01/2020,13,1,3,10,15.4,67
05/01/2020,14,1,3,11,14,70
05/01/2020,15,1,3,17,13.6,70
05/01/2020,16,1,3,28,13.3,65
05/01/2020,17,2.9,16,34,12.5,47
05/01/2020,18,2,19,16,11.3,38
05/01/2020,19,1,12,16,10.9,46
05/01/2020,20,4.1,15,16,10.3,46
05/01/2020,21,3.4,13,17,11.1,55
05/01/2020,22,1,9,20,11.7,56
05/01/2020,23,1,3,22,12.1,59
05/01/2020,24,1,3,25,12.2,61
06/01/2020,1,1,3,23,12.4,59
06/01/2020,2,1,3,22,12.6,58
06/01/2020,3,1,3,17,12.8,61
06/01/2020,4,1,3,15,12.4,56
06/01/2020,5,1,3,12,12.2,53
06/01/2020,6,1,11,12,12.4,39
06/01/2020,7,5,24,15,12.8,24
06/01/2020,8,2.5,21,16,13.1,43
06/01/2020,9,1,18,18,13.3,39
06/01/2020,10,1,14,13,13.9,49
06/01/2020,11,1,11,21,14.3,55
06/01/2020,12,1,11,15,14.4,57
06/01/2020,13,1,10,17,14.6,58
06/01/2020,14,1,7,18,14.9,65
06/01/2020,15,1,3,12,15.3,69
06/01/2020,16,1,3,9,14.5,67
06/01/2020,17,1,15,19,13.5,53
06/01/2020,18,3.2,29,19,12.6,32
06/01/2020,19,34,48,28,11.2,2
06/01/2020,20,21.7,44,29,11.4,10
06/01/2020,21,8.6,33,21,11,30
06/01/2020,22,3.2,22,21,11.2,38
06/01/2020,23,1,11,14,10.9,51
06/01/2020,24,1,11,12,10.1,42
07/01/2020,1,1,3,7,10.6,54
07/01/2020,2,1,3,8,10.4,59
07/01/2020,3,1,3,11,10.5,58
07/01/2020,4,1,3,16,10.7,61
07/01/2020,5,1,7,9,11.6,56
07/01/2020,6,7.7,21,11,9.4,24
07/01/2020,7,18.5,45,17,9.5,12
07/01/2020,8,42.7,60,15,10.4,9
07/01/2020,9,27.9,48,21,12.2,17
07/01/2020,10,8.5,17,21,13.9,47
07/01/2020,11,2.8,7,16,14.5,61
07/01/2020,12,4.1,9,13,14.8,62
07/01/2020,13,1,6,18,15,66
07/01/2020,14,2.1,6,10,14.9,65
07/01/2020,15,2.4,3,14,14.7,63
07/01/2020,16,2.5,8,19,13.6,61
07/01/2020,17,7.1,29,19,12.4,36
07/01/2020,18,10.7,41,32,11.8,28
07/01/2020,19,3.3,21,29,11.1,42
07/01/2020,20,1,8,26,11.2,52
07/01/2020,21,2.1,8,15,11.3,49
07/01/2020,22,1,8,14,11.3,48
07/01/2020,23,1,8,13,10.9,47
07/01/2020,24,1,3,15,10.6,48
08/01/2020,1,1,3,14,11.1,50
08/01/2020,2,1,3,10,11.5,51
08/01/2020,3,1,3,11,12.3,52
08/01/2020,4,1,3,15,12.8,51
08/01/2020,5,1,3,12,12.7,56
08/01/2020,6,1,3,13,13.3,60
08/01/2020,7,1,8,19,12.8,54
08/01/2020,8,1,9,16,13.4,55
08/01/2020,9,1,3,20,14.2,61
08/01/2020,10,1,3,24,14.7,65
08/01/2020,11,1,3,19,14.7,67
08/01/2020,12,1,3,15,14.9,66
08/01/2020,13,6.8,10,21,14.6,65
08/01/2020,14,2,7,19,14.5,70
08/01/2020,15,15.6,25,16,14.1,61
08/01/2020,16,21.7,42,19,14.2,45
08/01/2020,17,17.5,49,21,13.8,38
08/01/2020,18,10.9,41,26,13.8,46
08/01/2020,19,4.8,22,25,13.6,65
08/01/2020,20,1,7,19,13.6,76
08/01/2020,21,1,7,21,12.2,67
08/01/2020,22,1,8,24,12.2,64
08/01/2020,23,1,9,20,12.2,61
08/01/2020,24,1,3,16,11.7,63
09/01/2020,1,1,3,15,11,62
09/01/2020,2,1,3,12,10.6,55
09/01/2020,3,1,3,12,11.1,59
09/01/2020,4,1,7,11,10.8,52
